Activity_ID,Header,Subhead,Content Under Subhead,Content or Question Id,question_type,sequence,ContentType
337873,,,,0.0,,0,
337873,,,,0.0,,0,
337873,,,,0.0,,0,
337873,,,,0.0,,0,
337874,,,,0.0,,0,
337874,,,,0.0,,0,
337874,,,,0.0,,0,
337874,,,,0.0,,0,
337875,,,,0.0,,0,
337875,,,,0.0,,0,
337875,,,,0.0,,0,
337875,,,,0.0,,0,
337876,,,,0.0,,0,
337876,,,,0.0,,0,
337876,,,,0.0,,0,
337876,,,,0.0,,0,
337361,Welcome to Reboot,,https://vimeo.com/802356255,98.0,S,1,Video
337362,What’s Inside,,https://vimeo.com/802356389,99.0,S,1,Video
337363,The Fab Four,,https://vimeo.com/802355593,100.0,S,1,Video
337364,Set Your Goal,A good starting point!,"Let's set you up with a daily walking goal! You can start slowly and build over time, or jump in with 10,000 steps right away. \n\nAnd here's a bonus to keep in mind: every minute of moderate exercise you do can be added later. One minute = 100 steps! \n\n&nbsp;\n\nPick a starting goal:",101.0,S,1,Question
337364,Set Your Goal,Step it up!,"Excellent!  We'll increase your goal a little each week to help you reach your ultimate target of 10,000 steps. \n\nHow many steps would you like to add each week to get you to your goal?\n",101.0,S,2,Question
337364,Set Your Goal,You're on your way!,"Congratulations! Your goal of {{ stepcount_goal }} steps is totally doable!\n\nWe'll increase your goal by {{ stepcount_goal_increment }} steps each week until you reach 10,000 steps.\n\nSoon, 10,000 steps a day is going to be a natural part of your daily life!\n\n",101.0,S,3,Article
337364,Set Your Goal,,https://vimeo.com/802350997,101.0,S,4,Video
337365,Get Connected,Share My Activity,"Do you have a digital device that’s counting your steps and other physical activity? If so, we’d like to connect! \n\nConnecting to {{health_data_source}} helps us measure your progress and set the best goals for you!\n\nIf you don’t have any wearable devices right now, that’s okay, too!  You can connect a new device later.\n",102.0,S,1,Article
337366,Notifications,Grant Permission,"Reboot Your Age would like to send you notifications, to help you stay on track!\n\nPlease click below to enable notifications.",103.0,S,1,Article
337366,Notifications,You're all set!,Thanks for turning on notifications!\n\nWe'll keep you current on all updates!\n\nTo change your notifications settings at any time:\n1. Open the Settings app.\n2. Tap App settings.\n3. Select the Reboot Your Age app.\n4. Select Notifications.,103.0,S,2,Article
337402,Welcome Back,,https://vimeo.com/802356216,104.0,S,1,Video
337403,Slow and Steady,,https://vimeo.com/802354921,105.0,S,1,Video
337404,The 5 Pillars,,https://vimeo.com/802355567,106.0,S,1,Video
337405,5 Pillars: Physical Activity,,https://vimeo.com/802348104,107.0,S,1,Video
337406,Talk to Your Doc,Exercise Smart,"So you're planning to start a new exercise routine—hey, that's fantastic!!\n\nAs you already know, being physically active is key to living healthier and younger. \n\nAmong others, being active on the regular can help you:\n\n- Strengthen your muscles and bones\n- Control your weight\n- Reduce your risk of heart disease \n- Improve your cognitive function\n\nRemember, as Dr. Mike just pointed out, slow and steady wins the race. \n\nCheck in with your doctor about your health status and current activity level—and discuss where you would like to be—*before* you start a new exercise regimen. This is a good way to help avoid unnecessary risk or injury later on.\n\nMost people can do moderate activity—like brisk walking—with little worry. Still, if you've been inactive for a while, or if any of the following apply to you—we'll say it again—it's best to check with your doctor before starting **any** new exercise regimen. \n\nYou'll want to get your doc's okay *especially* with:\n\n- Any medications that may make you drowsy or dizzy \n- Any unsteadiness when walking or standing\n- Smoking habits \n- Pregnancy \n- Preexisting health conditions including:\n\n1. Heart, lung, or kidney disease\n2. High blood pressure\n3. Asthma \n4. Type 1 and 2 diabetes  \n5. Issues that may affect mobility—arthritis, etc\n6. Current or past cancer treatments\n\n\nYour goal is to live younger for longer, and our goal is to help you do that the safest way possible. \n\nYour doctor is the best person to advise you on where you currently are in your personal fitness journey. A simple discussion with them to kick things off is the surest way to get things right—and get you on your way.\n\n",108.0,S,1,Article
337407,The Right Time,,https://vimeo.com/802355637,109.0,S,1,Video
337408,5 Pillars: Nutrition,,https://vimeo.com/manage/videos/802348052,110.0,S,1,Video
337409,Daylight Eating,A New Habit,Dr. Mike has just explained to you *why* it's important for your overall health to eat when the sun is up. And he's given you a bit of science behind *how* it can impact your gene expression for the better.\n\nThat's why we've added *Eat When The Sun Is Up* to your *My Choices Count*—so you can easily build and track this powerful habit. \n\n,111.0,S,2,Article
337409,Eat when the sun is up,None,https://vimeo.com/802350753,111.0,S,1,Mar  2 2023  2:13PM
337414,33 Things for Your Brain,,https://vimeo.com/manage/videos/802348441,112.0,S,1,Video
337415,Brain + BP,,https://vimeo.com/manage/videos/802349872,113.0,S,1,Video
337416,Inspiratory Resistance,,https://vimeo.com/manage/videos/802351901,114.0,S,1,Video
337417,Brain + Cholesterol,,https://vimeo.com/manage/videos/802349913,115.0,S,1,Video
337418,Cholesterol Lowdown,The Good and Misunderstood,"When you were younger, you might have heard your parents or grandparents complaining about cholesterol, and decided \""cholesterol = not good.\"" \n\nBut cholesterol gets a bit of a bad rap. \n\nKnown to sciency people as a _lipid_, cholesterol is a fatty acid that makes up parts of your body. Maybe you’ve heard that there are two types of cholesterol:\n\n* Good cholesterol&mdash;called HDL, for high-density lipoprotein\n* Bad cholesterol&mdash;called LDL, for low-density lipoprotein\n\nBut did you know that&mdash;for the most part&mdash;they’re _both_ important for your well-being? \n\nYour body depends on LDL and HDL cholesterol to build tissue and produce hormones, along with other vital functions. Cholesterol is also a key component in cardiovascular health and aging. That’s why checking your cholesterol levels and getting them to a healthy range should factor high on your to-do list.  \n\n",116.0,S,1,Article
